ensemblID,ctrl_0000,low_0045,low_0090,low_0180,low_0360,low_0720,low_1440,high_0045,high_0090,high_0180,high_0360,high_0720,high_1440,geneID
ENSG00000186364,1,1.108591361,1.244438395,1.338224213,1.684719264,1.408258088,2.041811126,1.464365601,1.210288754,1.430011223,1.565245219,1.691108838,2.156884531,NUDT17
ENSG00000186812,1,0.852737008,1.094682115,1.424410293,1.922182127,1.963791035,1.916684508,0.747446764,1.000916763,1.416495905,1.851259378,2.101987677,1.743607428,ZNF397
ENSG00000221983,1,0.990729037,1.025452952,1.009585923,0.887160145,0.801143622,0.805780151,1.02631537,1.072440423,1.003128926,0.805220335,0.67122751,0.712874914,UBA52
ENSG00000122952,1,0.985636222,1.021000957,1.18768715,1.04838404,0.665775241,0.613208915,0.949491675,0.935061009,1.135996408,1.013345337,0.702599378,0.423471542,ZWINT
ENSG00000196924,1,0.967557055,1.076345231,1.299420256,1.140697162,0.980999009,0.844778355,0.94003059,0.969793941,1.042775717,1.144745473,1.307244851,1.583907966,FLNA
ENSG00000107819,1,0.952439282,0.976498263,1.021984117,1.166259,1.121270789,1.179225914,0.872370993,0.894360133,0.997251126,1.220270028,1.493604505,2.071574372,SFXN3
ENSG00000101493,1,1.081083919,0.905526548,0.706883179,1.203749563,1.354616065,1.034499074,0.997800258,0.779556472,0.634065555,1.187150139,1.334308701,1.091514466,ZNF516
ENSG00000114738,1,1.001744752,0.960193357,0.947330111,0.921512217,0.79984424,0.737835219,1.060662611,1.050946455,0.88114975,0.826748669,0.652751435,0.556226241,MAPKAPK3
ENSG00000128512,1,1.03025597,1.047120137,0.890160141,1.318013032,1.440346558,1.218375852,0.941036415,1.1465348,0.874938696,1.390748349,1.840265335,1.562744398,DOCK4
ENSG00000196498,1,0.975913942,1.151050788,1.838290564,1.214808737,1.089577459,1.31631116,0.969536774,1.102314604,1.771940725,1.415602936,1.545789897,2.436450229,NCOR2
ENSG00000150991,1,1.011888647,0.808337732,0.792844468,0.679672475,0.741959401,0.800529696,1.006049764,0.813707195,0.857098445,0.688781318,0.73853871,0.753051097,UBC
ENSG00000077549,1,0.876995182,0.809896639,0.807247598,0.831996189,0.740549698,0.700152434,0.928314837,0.942817735,0.896626921,0.745502262,0.67129067,0.725914064,CAPZB
ENSG00000188315,1,1.127655868,1.118217796,1.058725811,0.93270528,1.046257857,1.271446671,1.049081983,1.007239297,1.063634858,0.902532359,1.263064661,1.560611838,C3orf62
ENSG00000198843,1,0.97277472,0.944275634,0.831927609,1.017092298,0.899622499,0.842119133,1.002844232,1.16531909,1.071120535,0.893564485,0.657680431,0.609125847,SELT
ENSG00000083642,1,1.11915475,0.84924144,0.764679361,0.770076999,0.677703134,0.653097005,1.069375444,0.909409031,0.921647567,0.854011525,0.687950179,0.582659057,PDS5B
ENSG00000139182,1,1.017165075,1.19329391,1.253041631,1.034621718,1.376208169,1.639269132,1.051603307,1.036040067,0.969399238,1.060618339,1.54197802,2.022955596,CLSTN3
ENSG00000114054,1,1.081817766,1.065693959,0.948163294,0.931912386,1.102406106,1.162961041,1.029009864,0.968213044,0.98145773,0.917325954,0.818379959,0.60924291,PCCB
ENSG00000133740,1,0.837572406,0.837639159,0.773824826,0.938749321,0.936859602,0.677714651,0.786511659,0.794758951,0.617154654,0.763765183,0.599719215,0.313331344,E2F5
ENSG00000242498,1,0.952839744,0.90635043,0.802723771,1.065624618,1.390670044,1.633380051,0.972957302,0.975895438,0.934628573,1.193433834,1.42827396,1.47581779,ARPIN
ENSG00000108559,1,1.096243218,1.055956081,0.892420692,0.891281436,0.869796326,0.781521934,1.088082031,1.075910186,0.967460367,0.812771351,0.680181693,0.511887353,NUP88
ENSG00000113649,1,1.073993337,0.963909311,0.774660022,0.846297152,0.909862128,0.879336758,1.050973517,0.983197222,0.814920652,0.832998425,0.770891024,0.625878237,TCERG1
ENSG00000167536,1,0.881699451,1.051077197,0.745155087,0.699905261,0.73903677,0.730479888,0.934044583,0.851851859,0.560101661,0.529400827,0.426894494,0.321153988,DHRS13
ENSG00000163382,1,0.936286019,0.971212126,0.973575341,0.985498543,0.885961416,0.99650601,0.97600359,1.067040193,0.96866765,0.820786853,0.648206373,0.661638517,NAXE
ENSG00000169136,1,1.276632727,1.108440983,0.825494914,0.657992727,0.485153052,0.806853447,1.249806182,1.058852054,0.770837482,0.460528432,0.352534138,0.478636143,ATF5
ENSG00000164603,1,1.239681666,0.980337185,1.784150587,1.588974843,1.422214386,1.127111828,1.254659945,1.235277589,2.69591405,2.255964369,2.255463223,3.454042367,BMT2
ENSG00000110844,1,0.956469339,0.976636038,1.189525527,1.376451245,1.768780862,1.611186923,0.979807492,0.825462893,1.042524656,1.245062295,1.996856325,1.779051377,PRPF40B
ENSG00000003989,1,1.035616489,1.223730257,0.800436841,0.640323347,0.706730197,0.626597898,0.989345002,1.020948548,0.712108508,0.548772702,0.460597371,0.937709329,SLC7A2
ENSG00000180806,1,1.211104351,1.453426942,1.348892515,1.372861547,1.283251298,1.419275993,1.325370856,1.267106852,1.647655084,1.496979958,1.539850311,2.039471062,HOXC9
ENSG00000149054,1,0.984913244,0.819781714,0.886882439,1.098794142,1.13135669,0.834396303,0.856141547,0.884570367,0.876327939,1.040121002,0.91503677,0.50623402,ZNF215
