geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
HCCS,0.554024012,0.591083041,0.799588631,0.968925811,1.062592176,1.070522349,0.761589721,0.793957458,0.856221577,1.030767328,1.000769324,0.917176668,inhibition,1
HDAC2,0.594426584,0.695694615,0.757270564,0.887010538,0.940966127,0.986839017,0.749833591,0.777462134,0.777035626,0.792559509,0.951148957,0.920522703,inhibition,1
HDDC2,0.598408241,0.725253322,0.881468976,0.926162275,0.980536886,0.982354898,0.792514428,0.937743908,0.977363027,0.911250269,0.940802012,0.994150977,inhibition,1
HEATR1,0.636254585,0.800253793,0.850784667,0.86599153,0.963845025,0.987812744,0.946243729,1.024964501,0.853312095,0.948343404,0.992861227,1.035862219,inhibition,1
HEATR3,0.670202845,0.683614681,0.857679404,0.945304392,0.949679192,0.958691449,0.817202616,0.823430181,0.869386595,0.98323943,0.990594538,0.84683669,inhibition,1
HELLS,0.287252359,0.538282234,0.920214165,0.928151828,0.978922881,0.99448316,0.627689768,0.600762244,0.830669517,0.910552065,1.057381422,1.068180794,inhibition,1
HERC6,0.599604052,0.708877424,0.765146169,0.898373489,0.901065407,0.935275259,0.847696016,0.888107731,0.855895147,0.803423658,0.847055344,0.982302601,inhibition,1
HEXB,0.616436115,0.843982594,1.034710987,1.043991946,1.065749421,1.130477712,0.743024216,0.876246931,0.971909336,1.084710041,1.069743113,1.133699147,inhibition,1
HGH1,0.61245914,0.759589902,0.791479409,0.815219509,0.836061946,0.981024865,0.891282112,0.986838663,1.046992854,1.121642111,0.829327583,1.096346041,inhibition,1
HIBCH,0.595381935,0.828451107,0.857614828,0.898354874,0.902778427,0.9429085,0.825102559,0.982744267,0.978604359,0.917379249,0.931397961,0.87021644,inhibition,1
HIF1A,0.658102401,0.782576677,0.822625042,0.906630913,1.007064604,1.058926256,0.821979464,0.994858687,0.806088877,0.727915009,0.952884441,1.061065151,inhibition,1
HIRIP3,0.591075065,0.791811674,0.820973807,0.826980042,0.84045643,0.950646189,0.760224572,0.920728117,0.859054752,0.962163376,0.9036956,0.923460314,inhibition,1
HIVEP2,0.661556278,0.738058475,0.764142891,0.854188118,0.886672583,0.981798169,0.683402161,0.845885897,1.065306905,0.924875688,0.932100138,1.03256683,inhibition,1
HMBS,0.54909819,0.700164185,0.826658902,0.89560231,0.935448122,0.93855082,0.96575313,0.94434937,0.969836568,1.068595764,1.030423868,0.926408703,inhibition,1
