,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1159,NCAPD2,0.462121802,0.798849111,0.840790093,0.85555776,0.87348625,0.892401726,0.517014376,0.850912324,0.821988592,0.828320678,0.887768862,0.917181626,inhibition,1
1160,NCAPD3,0.355885702,0.520446844,0.844663118,0.911944669,0.949649946,0.986831157,0.607500914,0.645738942,0.844838514,0.927501345,0.964296917,1.010685055,inhibition,1
1161,NCAPG2,0.273978506,0.669321548,0.911941047,0.916280897,0.941702008,0.988259165,0.39572077,0.647662233,0.918970371,0.887071624,0.944363553,0.940692714,inhibition,1
1162,NCBP1,0.615583652,0.69883577,0.789107616,0.893731266,0.953838986,0.968058637,0.81355613,0.807034222,0.785572433,0.850736744,0.963270463,1.005375911,inhibition,1
1163,NCDN,0.668968429,0.730149922,0.778960972,0.829689677,0.862939572,0.979483285,0.909852329,0.914404536,0.974038211,0.92151483,0.865600667,1.351089101,inhibition,1
1164,NCL,0.315808653,0.375698017,0.590841179,0.796654485,0.923545937,0.980113098,0.609693603,0.560588803,0.656690984,0.75230171,0.925271737,1.007024952,inhibition,1
1165,NCLN,0.512766199,0.530324297,0.720215746,0.867973402,0.947386582,0.965479929,0.657132008,0.675264944,0.829390938,1.211292391,0.949816617,1.102650038,inhibition,1
1166,NDC1,0.338055152,0.668195933,0.929304907,1.027372687,1.033027705,1.096311557,0.635935352,0.812522114,0.969251801,1.07152845,0.950125213,1.052009445,inhibition,1
1167,NDFIP2,0.566838563,0.732660864,0.886366454,0.996041449,1.043678437,1.12125884,0.743306302,0.871108424,0.910793028,0.941441739,1.152828555,0.962550144,inhibition,1
1168,NDUFA12,0.618068869,0.759821202,0.834132841,0.936317934,0.993202098,1.024562579,0.864526863,0.871055605,0.906834984,0.94528596,0.958463362,1.023614439,inhibition,1
1169,NDUFA4,0.590429078,0.675351251,0.861881737,0.987662007,0.999623982,1.008939434,0.732267168,0.807062136,0.963359088,0.998343121,0.929578556,0.959484469,inhibition,1
1170,NDUFA5,0.599535412,0.661202794,0.816411397,0.94600519,1.059411214,1.116385939,0.79495754,0.865129469,0.915181454,0.808764107,1.017852678,0.880496822,inhibition,1
