,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
367,ITGA3,0.946434012,0.960410318,0.97627201,1.132196509,1.404676304,1.704025012,0.980508133,1.090173606,1.182402877,1.096978305,1.364834523,1.415170551,activation,2
368,ITGA5,1.018708248,1.392550013,1.906046326,2.288412655,3.425032362,3.781116392,0.956905209,1.301128397,1.800531114,1.639815852,1.055714287,1.819829896,activation,2
369,ITGAV,0.972070683,1.114244388,1.513646392,1.932669914,2.882766026,3.608152313,1.09078617,1.03800807,1.227004755,1.306725908,1.425211929,1.084530632,activation,2
370,ITGB1,0.964565151,0.995519424,1.168677533,1.415726533,1.526231943,1.872430542,1.037131026,1.045403093,1.14633459,1.187183405,0.987017003,1.261752152,activation,2
371,ITGB5,1.032275493,1.142086129,1.389267474,1.761073943,2.322383155,2.411121332,1.108205927,1.182074819,1.42559084,1.478810638,1.454336493,1.11707926,activation,2
372,ITPKC,0.894599526,0.898554298,0.9388407,1.047213875,1.184428784,1.654699522,0.875683684,1.143359984,0.982877997,1.141574657,1.008350385,1.287819943,activation,2
373,ITPR2,0.931768085,1.002163074,1.029160316,1.264521157,1.485334302,1.683111911,0.849500347,1.013803737,1.031497901,1.14073657,1.346209198,1.42537799,activation,2
374,ITPR3,1.018244167,1.029006227,1.197641362,1.329599742,1.756571624,2.148932077,1.057776647,0.996290154,1.320726373,1.232476426,1.347499992,1.478644729,activation,2
375,ITPRIPL2,1.104212112,1.313620978,1.424353237,1.554345842,1.572199456,1.764091698,1.007160349,1.306037449,1.374779129,1.46496562,1.485115852,1.721757582,activation,2
376,ITSN2,1.012326051,1.0321386,1.444258674,1.495403927,1.49786784,1.567601964,1.093332794,0.939893048,1.138843982,1.238526223,1.236348652,1.286118886,activation,2
377,JAK2,0.988620916,1.163964893,1.278204733,1.390651747,1.624131929,1.657596245,1.135624318,1.102860291,1.146542947,1.407748281,1.458928145,1.554200728,activation,2
378,JARID2,1.149235719,1.18555725,1.229312035,1.377904281,1.433054666,1.867317903,1.146161356,1.232769767,1.214303969,1.151117876,1.053764926,1.405321363,activation,2
379,JMJD1C,1.142768253,1.246426383,1.307063836,1.596927485,1.730639104,1.961529403,1.083173652,1.315061657,1.265264416,1.460050519,1.258250689,1.576867235,activation,2
380,JOSD1,1.044588816,1.112670983,1.252513293,1.319506612,1.520654829,1.624749988,1.00975666,1.040596404,1.187334424,1.257193356,1.389099905,1.324674028,activation,2
381,JUP,0.987967758,1.025913544,1.041185641,1.056589173,1.240155751,1.705137183,1.048124608,0.922734292,0.980248462,1.046803321,1.114866602,1.246855739,activation,2
382,KANSL3,1.018533419,1.20741252,1.272346897,1.412025426,1.462732031,1.552260739,1.012773711,1.200985659,1.17455675,1.237307836,1.174893767,1.199571336,activation,2
383,KATNBL1,0.992390172,1.098707053,1.189618334,1.213388422,1.447479545,1.595699879,1.006612266,1.064981899,1.217817709,1.247653342,1.385272323,1.469733792,activation,2
384,KCNK6,0.954902035,1.124681546,1.523174691,1.608398212,1.617723099,1.867442435,0.964761105,1.109062574,1.41381054,1.61872699,1.106841385,1.262258774,activation,2
385,KCTD10,0.965082618,1.097488192,1.124894207,1.158585027,1.269381058,1.571627639,0.949119165,1.048571784,0.987747225,1.104327016,1.113260682,1.171966017,activation,2
386,KCTD13,0.973092857,0.978710495,1.023029442,1.046723189,1.30467696,1.432585012,1.202452226,1.165956969,0.899972464,1.135285716,1.27197103,1.60434215,activation,2
387,KCTD18,0.975946977,0.977955677,1.025113027,1.217729208,1.421409187,1.564715776,0.995121228,0.839491261,0.902392865,1.188798936,1.466439501,1.428055417,activation,2
388,KCTD7,0.956002999,1.593928389,2.298260935,2.682055501,4.010169481,5.262768471,0.881785701,1.466523121,1.733421462,2.351873531,2.531657018,2.638640568,activation,2
